Method,Accuracy (mean ± std),Overhead F (mean ± std),t-stat (Acc vs PSO),p-val (Acc),t-stat (F vs PSO),p-val (F),Params
PSO-FFNN (A),0.7490 ± 0.0230,0.3544 ± 0.0165,-,-,-,-,325
MOPSO-FFNN-AD (C),0.6297 ± 0.0845,0.3816 ± 0.0298,-4.071,2.7975e-03,2.470,3.5591e-02,325
CNN-1D,0.7760 ± 0.0341,0.1997 ± 0.0152,2.492,3.4312e-02,-21.493,4.8069e-09,2373
LSTM,0.7747 ± 0.0348,0.2008 ± 0.0156,3.428,7.5325e-03,-35.544,5.4624e-11,13093
Transformer,0.7857 ± 0.0407,0.1686 ± 0.0130,2.467,3.5773e-02,-31.320,1.6913e-10,18437
