Feature,Accuracy_Drop_Mean,Accuracy_Drop_Std,F_Delta_Mean,F_Delta_Std
inter_arrival_time,0.0,0.0,0.006253333333333322,0.0009954563442629261
packet_size,0.0,0.0,-0.00029333333333335653,0.0009372299611087996
protocol,0.0,0.0,-0.0003933333333333455,0.0021877334796034354
flow_duration,0.0,0.0,-0.006886666666666663,0.0009693296652842289
total_bytes,0.0,0.0,-0.0004666666666666708,0.0010396580634462825
packet_count,0.0,0.0,-0.002373333333333327,0.0013142636299041377
dst_port,0.0,0.0,-0.0014866666666666583,0.0009309732064410548
ttl,0.0,0.0,-0.002333333333333332,0.0008379870059984325
