Feature,Accuracy_Drop_Mean,Accuracy_Drop_Std,F_Delta_Mean,F_Delta_Std
inter_arrival_time,0.0,0.0,6.666666666665932e-06,4.666666666666153e-05
packet_size,0.0,0.0,1.3333333333331865e-05,7.180219742845214e-05
protocol,0.0,0.0,6.666666666665932e-05,5.962847939998783e-05
flow_duration,0.0,0.0,9.999999999998899e-05,7.453559924998478e-05
total_bytes,0.0,0.0,2.4999999999986144e-05,0.0002684575281947701
packet_count,0.0,0.0,2.666666666666373e-05,7.423685817105879e-05
dst_port,0.0,0.0,-6.666666666665932e-05,0.0
ttl,0.0,0.0,0.002079999999999993,0.0003066666666666329
