Method,Accuracy (mean ± std),Overhead F (mean ± std),t-stat (Acc vs PSO),p-val (Acc),t-stat (F vs PSO),p-val (F),Params
PSO-FFNN (A),0.4793 ± 0.0288,0.4486 ± 0.0166,-,-,-,-,325
MOPSO-FFNN-AD (C),0.3787 ± 0.0565,0.4817 ± 0.0303,-4.025,2.9935e-03,2.480,3.4985e-02,325
CNN-1D,0.6150 ± 0.0226,0.3064 ± 0.0094,14.572,1.4503e-07,-27.729,5.0098e-10,2373
LSTM,0.6423 ± 0.0282,0.3067 ± 0.0110,18.382,1.9081e-08,-34.575,6.9942e-11,13093
Transformer,0.6213 ± 0.0308,0.2937 ± 0.0207,8.318,1.6184e-05,-16.613,4.6313e-08,18437
